City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
154,Vaini,TO,76.82,broken clouds,-21.2,-175.2,Keleti Beach Resort
155,Bethel,US,82.35,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
157,Cabo San Lucas,MX,94.17,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
159,Kavieng,PG,82.0,broken clouds,-2.5744,150.7967,Nusa Island Retreat
162,Hirara,JP,84.27,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
163,Sarkand,KZ,67.37,scattered clouds,45.41,79.9186,Гостиница Сарканд
164,Dodge City,US,91.65,clear sky,37.7528,-100.0171,Windsor Inn & Suites
167,Virginia Beach,US,73.02,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
168,Pangkalanbuun,ID,74.53,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
172,Hobyo,SO,76.69,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
174,Amahai,ID,76.87,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
177,Jiuquan,CN,74.77,clear sky,39.7432,98.5174,Jiuquan Hotel
179,Vilhena,BR,90.43,clear sky,-12.7406,-60.1458,Hotel Mirage
180,Acari,PE,71.83,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
183,Nefteyugansk,RU,67.32,few clouds,61.0998,72.6035,Royal Plaza
184,Broome,US,78.71,clear sky,42.2506,-75.833,Chenango Valley State Park
186,Abu Dhabi,AE,91.69,broken clouds,24.4667,54.3667,Beach Rotana
188,Pedernales,DO,86.4,overcast clouds,18.0384,-71.744,Hotel Costa Marina
189,Nakamura,JP,73.92,broken clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
190,Jamestown,US,77.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
191,Lucapa,AO,74.88,clear sky,-8.4192,20.7447,Lírio Mendes
195,Lardos,GR,81.95,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
196,Waterloo,CA,81.46,broken clouds,43.4668,-80.5164,The Walper Hotel
197,Wajir,KE,80.1,overcast clouds,1.7471,40.0573,Mahatallah Hotel
199,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
200,Safaga,EG,89.67,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
205,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
208,Atasu,KZ,67.23,broken clouds,48.6814,71.6433,Dostyk
209,Nabire,ID,75.51,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
213,Katsuura,JP,74.37,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
215,Corleone,IT,77.74,clear sky,37.8134,13.3017,Leon D'Oro
216,Krasnosilka,UA,79.34,overcast clouds,46.6226,30.7742,Готель Шанхай Блюз
217,Fontem,CM,69.1,light rain,5.4685,9.8818,Vista Palace Hotel
219,Beloha,MG,66.61,clear sky,-25.1667,45.05,
220,Bereda,ES,94.57,clear sky,43.2686,-7.5406,Pazo de Verdes
221,Hithadhoo,MV,82.8,overcast clouds,-0.6,73.0833,Scoop Guest House
222,La Ronge,CA,69.58,broken clouds,55.1001,-105.2842,Northland Motor Hotel
226,Grand-Santi,GF,87.89,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
227,Inhambane,MZ,67.98,few clouds,-23.865,35.3833,Oceano
228,Tecoanapa,MX,86.49,scattered clouds,16.5167,-98.75,Hotel Manglares
229,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
230,Bassar,TG,76.86,light rain,9.25,0.7833,Hôtel KYRIAD
231,Lewistown,US,81.88,clear sky,40.5992,-77.5714,Quality Inn & Suites
232,Flin Flon,CA,79.97,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
233,Champerico,GT,91.94,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
234,Chuy,UY,72.0,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
235,Rocha,UY,76.41,broken clouds,-34.4833,-54.3333,Hotel Arrarte
236,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
237,Buala,SB,78.62,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
238,Grand Gaube,MU,70.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
241,Calabozo,VE,86.45,broken clouds,8.9242,-67.4293,Hotel Giardini
243,Samara,RU,65.82,broken clouds,53.0,50.0,
244,Birin,NP,66.09,broken clouds,26.8865,88.0718,Sun Hotel & Lodge
245,Zanjan,IR,72.63,clear sky,36.6736,48.4787,Qasr Hotel
246,Boa Vista,BR,87.31,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
247,Kuching,MY,80.82,few clouds,1.55,110.3333,Hilton Kuching
248,Santa Cruz Cabralia,BR,79.03,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
